Participant,DoF,Contents,Codecs,Bitrates,Scores
4,1,1,2,4,3
4,1,1,2,5,4
4,1,1,3,2,1
4,1,1,3,3,1
4,1,1,3,4,3
4,1,1,3,5,4
4,1,2,1,1,4
4,1,2,2,2,2
4,1,2,2,3,2
4,1,2,2,4,4
4,1,2,2,5,3
4,1,2,3,2,1
4,1,2,3,3,1
4,1,2,3,4,3
4,1,2,3,5,4
4,1,3,1,1,5
4,1,3,2,2,1
4,1,3,2,3,1
4,1,3,2,4,4
4,1,3,2,5,5
4,1,3,3,2,1
4,1,3,3,3,2
4,1,3,3,4,4
4,1,3,3,5,4
4,1,4,1,1,4
4,1,4,2,2,1
4,1,4,2,3,2
4,1,4,2,4,3
4,1,4,2,5,2
4,1,4,3,2,1
4,1,4,3,3,1
4,1,4,3,4,3
4,1,4,3,5,3
5,1,1,1,1,5
5,1,1,2,2,3
5,1,1,2,3,4
5,1,1,2,4,5
5,1,1,2,5,4
5,1,1,3,2,1
5,1,1,3,3,3
5,1,1,3,4,5
5,1,1,3,5,5
5,1,2,1,1,4
5,1,2,2,2,3
5,1,2,2,3,4
5,1,2,2,4,5
5,1,2,2,5,5
5,1,2,3,2,2
5,1,2,3,3,4
5,1,2,3,4,5
5,1,2,3,5,5
5,1,3,1,1,5
5,1,3,2,2,4
5,1,3,2,3,4
5,1,3,2,4,5
5,1,3,2,5,5
5,1,3,3,2,1
5,1,3,3,3,3
5,1,3,3,4,5
5,1,3,3,5,5
5,1,4,1,1,5
5,1,4,2,2,2
5,1,4,2,3,4
5,1,4,2,4,3
5,1,4,2,5,3
5,1,4,3,2,2
5,1,4,3,3,4
5,1,4,3,4,3
5,1,4,3,5,4
6,1,1,1,1,4
6,1,1,2,2,1
6,1,1,2,3,2
6,1,1,2,4,4
6,1,1,2,5,4
6,1,1,3,2,1
6,1,1,3,3,1
6,1,1,3,4,3
6,1,1,3,5,3
6,1,2,1,1,4
6,1,2,2,2,1
6,1,2,2,3,1
6,1,2,2,4,3
6,1,2,2,5,4
6,1,2,3,2,1
6,1,2,3,3,1
6,1,2,3,4,2
6,1,2,3,5,3
6,1,3,1,1,5
6,1,3,2,2,1
6,1,3,2,3,2
6,1,3,2,4,4
6,1,3,2,5,5
6,1,3,3,2,1
6,1,3,3,3,2
6,1,3,3,4,3
6,1,3,3,5,4
6,1,4,1,1,4
6,1,4,2,2,1
6,1,4,2,3,2
6,1,4,2,4,3
6,1,4,2,5,3
6,1,4,3,2,1
6,1,4,3,3,2
6,1,4,3,4,3
6,1,4,3,5,3
7,1,1,1,1,2
7,1,1,2,2,1
7,1,1,2,3,2
7,1,1,2,4,4
7,1,1,2,5,5
7,1,1,3,2,1
7,1,1,3,3,1
7,1,1,3,4,3
7,1,1,3,5,2
7,1,2,1,1,4
7,1,2,2,2,2
7,1,2,2,3,2
7,1,2,2,4,3
7,1,2,2,5,3
7,1,2,3,2,1
7,1,2,3,3,2
7,1,2,3,4,2
7,1,2,3,5,2
7,1,3,1,1,5
7,1,3,2,2,2
7,1,3,2,3,2
7,1,3,2,4,3
7,1,3,2,5,3
7,1,3,3,2,1
7,1,3,3,3,1
7,1,3,3,4,2
7,1,3,3,5,4
7,1,4,1,1,2
7,1,4,2,2,1
7,1,4,2,3,1
7,1,4,2,4,2
7,1,4,2,5,4
7,1,4,3,2,1
7,1,4,3,3,2
7,1,4,3,4,1
7,1,4,3,5,1
8,1,1,1,1,5
8,1,1,2,2,2
8,1,1,2,3,2
8,1,1,2,4,3
8,1,1,2,5,3
8,1,1,3,2,1
8,1,1,3,3,1
8,1,1,3,4,4
8,1,1,3,5,3
8,1,2,1,1,4
8,1,2,2,2,2
8,1,2,2,3,1
8,1,2,2,4,4
8,1,2,2,5,4
8,1,2,3,2,1
8,1,2,3,3,2
8,1,2,3,4,3
8,1,2,3,5,3
8,1,3,1,1,5
8,1,3,2,2,2
8,1,3,2,3,2
8,1,3,2,4,4
8,1,3,2,5,5
8,1,3,3,2,1
8,1,3,3,3,2
8,1,3,3,4,3
8,1,3,3,5,4
8,1,4,1,1,4
8,1,4,2,2,1
8,1,4,2,3,1
8,1,4,2,4,3
8,1,4,2,5,4
8,1,4,3,2,1
8,1,4,3,3,2
8,1,4,3,4,3
8,1,4,3,5,5
9,1,1,1,1,4
9,1,1,2,2,2
9,1,1,2,3,2
9,1,1,2,4,5
9,1,1,2,5,4
9,1,1,3,2,1
9,1,1,3,3,1
9,1,1,3,4,2
9,1,1,3,5,2
9,1,2,1,1,5
9,1,2,2,2,2
9,1,2,2,3,4
9,1,2,2,4,4
9,1,2,2,5,2
9,1,2,3,2,1
9,1,2,3,3,1
9,1,2,3,4,4
9,1,2,3,5,3
9,1,3,1,1,5
9,1,3,2,2,2
9,1,3,2,3,3
9,1,3,2,4,3
9,1,3,2,5,4
9,1,3,3,2,1
9,1,3,3,3,2
9,1,3,3,4,3
9,1,3,3,5,2
9,1,4,1,1,4
9,1,4,2,2,1
9,1,4,2,3,2
9,1,4,2,4,1
9,1,4,2,5,4
9,1,4,3,2,1
9,1,4,3,3,3
9,1,4,3,4,3
9,1,4,3,5,4
10,1,1,1,1,5
10,1,1,2,2,1
10,1,1,2,3,1
10,1,1,2,4,3
10,1,1,2,5,4
10,1,1,3,2,1
10,1,1,3,3,1
10,1,1,3,4,3
10,1,1,3,5,4
10,1,2,1,1,5
10,1,2,2,2,1
10,1,2,2,3,2
10,1,2,2,4,3
10,1,2,2,5,3
10,1,2,3,2,1
10,1,2,3,3,2
10,1,2,3,4,2
10,1,2,3,5,3
10,1,3,1,1,5
10,1,3,2,2,2
10,1,3,2,3,2
10,1,3,2,4,3
10,1,3,2,5,4
10,1,3,3,2,1
10,1,3,3,3,1
10,1,3,3,4,4
10,1,3,3,5,4
10,1,4,1,1,3
10,1,4,2,2,1
10,1,4,2,3,2
10,1,4,2,4,4
10,1,4,2,5,3
10,1,4,3,2,1
10,1,4,3,3,2
10,1,4,3,4,3
10,1,4,3,5,2
11,1,1,1,1,2
11,1,1,2,2,2
11,1,1,2,3,3
11,1,1,2,4,5
11,1,1,2,5,4
11,1,1,3,2,1
11,1,1,3,3,3
11,1,1,3,4,3
11,1,1,3,5,3
11,1,2,1,1,4
11,1,2,2,2,3
11,1,2,2,3,4
11,1,2,2,4,5
11,1,2,2,5,4
11,1,2,3,2,1
11,1,2,3,3,3
11,1,2,3,4,4
11,1,2,3,5,5
11,1,3,1,1,4
11,1,3,2,2,1
11,1,3,2,3,2
11,1,3,2,4,3
11,1,3,2,5,4
11,1,3,3,2,1
11,1,3,3,3,1
11,1,3,3,4,3
11,1,3,3,5,3
11,1,4,1,1,3
11,1,4,2,2,1
11,1,4,2,3,3
11,1,4,2,4,2
11,1,4,2,5,5
11,1,4,3,2,1
11,1,4,3,3,3
11,1,4,3,4,3
11,1,4,3,5,3
12,1,1,1,1,4
12,1,1,2,2,3
12,1,1,2,3,3
12,1,1,2,4,4
12,1,1,2,5,4
12,1,1,3,2,1
12,1,1,3,3,2
12,1,1,3,4,3
12,1,1,3,5,2
12,1,2,1,1,4
12,1,2,2,2,2
12,1,2,2,3,2
12,1,2,2,4,5
12,1,2,2,5,3
12,1,2,3,2,1
12,1,2,3,3,3
12,1,2,3,4,3
12,1,2,3,5,5
12,1,3,1,1,4
12,1,3,2,2,2
12,1,3,2,3,4
12,1,3,2,4,3
12,1,3,2,5,5
12,1,3,3,2,2
12,1,3,3,3,2
12,1,3,3,4,3
12,1,3,3,5,4
12,1,4,1,1,2
12,1,4,2,2,1
12,1,4,2,3,2
12,1,4,2,4,3
12,1,4,2,5,1
12,1,4,3,2,1
12,1,4,3,3,2
12,1,4,3,4,2
12,1,4,3,5,2
13,1,1,1,1,5
13,1,1,2,2,1
13,1,1,2,3,3
13,1,1,2,4,3
13,1,1,2,5,4
13,1,1,3,2,1
13,1,1,3,3,1
13,1,1,3,4,3
13,1,1,3,5,5
13,1,2,1,1,5
13,1,2,2,2,1
13,1,2,2,3,1
13,1,2,2,4,3
13,1,2,2,5,3
13,1,2,3,2,1
13,1,2,3,3,2
13,1,2,3,4,3
13,1,2,3,5,4
13,1,3,1,1,5
13,1,3,2,2,2
13,1,3,2,3,2
13,1,3,2,4,3
13,1,3,2,5,4
13,1,3,3,2,1
13,1,3,3,3,1
13,1,3,3,4,4
13,1,3,3,5,5
13,1,4,1,1,5
13,1,4,2,2,1
13,1,4,2,3,1
13,1,4,2,4,3
13,1,4,2,5,4
13,1,4,3,2,1
13,1,4,3,3,3
13,1,4,3,4,2
13,1,4,3,5,2
14,1,1,1,1,3
14,1,1,2,2,1
14,1,1,2,3,1
14,1,1,2,4,2
14,1,1,2,5,3
14,1,1,3,2,1
14,1,1,3,3,1
14,1,1,3,4,2
14,1,1,3,5,3
14,1,2,1,1,4
14,1,2,2,2,1
14,1,2,2,3,1
14,1,2,2,4,4
14,1,2,2,5,4
14,1,2,3,2,1
14,1,2,3,3,1
14,1,2,3,4,3
14,1,2,3,5,3
14,1,3,1,1,4
14,1,3,2,2,1
14,1,3,2,3,1
14,1,3,2,4,2
14,1,3,2,5,3
14,1,3,3,2,1
14,1,3,3,3,1
14,1,3,3,4,1
14,1,3,3,5,3
14,1,4,1,1,3
14,1,4,2,2,1
14,1,4,2,3,2
14,1,4,2,4,2
14,1,4,2,5,3
14,1,4,3,2,1
14,1,4,3,3,1
14,1,4,3,4,3
14,1,4,3,5,2
15,1,1,1,1,3
15,1,1,2,2,1
15,1,1,2,3,1
15,1,1,2,4,3
15,1,1,2,5,4
15,1,1,3,2,1
15,1,1,3,3,1
15,1,1,3,4,2
15,1,1,3,5,4
15,1,2,1,1,4
15,1,2,2,2,1
15,1,2,2,3,2
15,1,2,2,4,3
15,1,2,2,5,5
15,1,2,3,2,1
15,1,2,3,3,2
15,1,2,3,4,3
15,1,2,3,5,3
15,1,3,1,1,5
15,1,3,2,2,2
15,1,3,2,3,2
15,1,3,2,4,3
15,1,3,2,5,2
15,1,3,3,2,1
15,1,3,3,3,1
15,1,3,3,4,3
15,1,3,3,5,3
15,1,4,1,1,4
15,1,4,2,2,1
15,1,4,2,3,3
15,1,4,2,4,3
15,1,4,2,5,4
15,1,4,3,2,1
15,1,4,3,3,2
15,1,4,3,4,4
15,1,4,3,5,3
16,1,1,1,1,3
16,1,1,2,2,4
16,1,1,2,3,3
16,1,1,2,4,3
16,1,1,2,5,3
16,1,1,3,2,1
16,1,1,3,3,2
16,1,1,3,4,3
16,1,1,3,5,3
16,1,2,1,1,5
16,1,2,2,2,4
16,1,2,2,3,3
16,1,2,2,4,4
16,1,2,2,5,3
16,1,2,3,2,2
16,1,2,3,3,4
16,1,2,3,4,3
16,1,2,3,5,3
16,1,3,1,1,5
16,1,3,2,2,4
16,1,3,2,3,2
16,1,3,2,4,4
16,1,3,2,5,4
16,1,3,3,2,4
16,1,3,3,3,2
16,1,3,3,4,4
16,1,3,3,5,4
16,1,4,1,1,4
16,1,4,2,2,1
16,1,4,2,3,4
16,1,4,2,4,4
16,1,4,2,5,5
16,1,4,3,2,1
16,1,4,3,3,3
16,1,4,3,4,4
16,1,4,3,5,2
17,1,1,1,1,5
17,1,1,2,2,3
17,1,1,2,3,2
17,1,1,2,4,3
17,1,1,2,5,4
17,1,1,3,2,1
17,1,1,3,3,2
17,1,1,3,4,3
17,1,1,3,5,5
17,1,2,1,1,5
17,1,2,2,2,2
17,1,2,2,3,3
17,1,2,2,4,3
17,1,2,2,5,4
17,1,2,3,2,1
17,1,2,3,3,2
17,1,2,3,4,3
17,1,2,3,5,4
17,1,3,1,1,4
17,1,3,2,2,3
17,1,3,2,3,2
17,1,3,2,4,4
17,1,3,2,5,5
17,1,3,3,2,1
17,1,3,3,3,3
17,1,3,3,4,2
17,1,3,3,5,5
17,1,4,1,1,3
17,1,4,2,2,1
17,1,4,2,3,2
17,1,4,2,4,3
17,1,4,2,5,4
17,1,4,3,2,1
17,1,4,3,3,2
17,1,4,3,4,3
17,1,4,3,5,4
18,1,1,1,1,4
18,1,1,2,2,1
18,1,1,2,3,2
18,1,1,2,4,4
18,1,1,2,5,5
18,1,1,3,2,1
18,1,1,3,3,1
18,1,1,3,4,2
18,1,1,3,5,4
18,1,2,1,1,4
18,1,2,2,2,2
18,1,2,2,3,2
18,1,2,2,4,4
18,1,2,2,5,4
18,1,2,3,2,1
18,1,2,3,3,2
18,1,2,3,4,3
18,1,2,3,5,4
18,1,3,1,1,5
18,1,3,2,2,2
18,1,3,2,3,1
18,1,3,2,4,3
18,1,3,2,5,3
18,1,3,3,2,1
18,1,3,3,3,2
18,1,3,3,4,3
18,1,3,3,5,5
18,1,4,1,1,2
18,1,4,2,2,1
18,1,4,2,3,3
18,1,4,2,4,2
18,1,4,2,5,3
18,1,4,3,2,1
18,1,4,3,3,3
18,1,4,3,4,1
18,1,4,3,5,3
19,1,1,1,1,5
19,1,1,2,2,2
19,1,1,2,3,2
19,1,1,2,4,5
19,1,1,2,5,5
19,1,1,3,2,1
19,1,1,3,3,4
19,1,1,3,4,4
19,1,1,3,5,5
19,1,2,1,1,5
19,1,2,2,2,2
19,1,2,2,3,3
19,1,2,2,4,4
19,1,2,2,5,4
19,1,2,3,2,1
19,1,2,3,3,4
19,1,2,3,4,4
19,1,2,3,5,5
19,1,3,1,1,5
19,1,3,2,2,3
19,1,3,2,3,2
19,1,3,2,4,3
19,1,3,2,5,5
19,1,3,3,2,1
19,1,3,3,3,1
19,1,3,3,4,3
19,1,3,3,5,5
19,1,4,1,1,4
19,1,4,2,2,1
19,1,4,2,3,4
19,1,4,2,4,3
19,1,4,2,5,3
19,1,4,3,2,1
19,1,4,3,3,3
19,1,4,3,4,5
19,1,4,3,5,4
20,1,1,1,1,4
20,1,1,2,2,3
20,1,1,2,3,3
20,1,1,2,4,2
20,1,1,2,5,4
20,1,1,3,2,1
20,1,1,3,3,1
20,1,1,3,4,1
20,1,1,3,5,2
20,1,2,1,1,5
20,1,2,2,2,2
20,1,2,2,3,1
20,1,2,2,4,2
20,1,2,2,5,3
20,1,2,3,2,1
20,1,2,3,3,4
20,1,2,3,4,2
20,1,2,3,5,3
20,1,3,1,1,5
20,1,3,2,2,2
20,1,3,2,3,2
20,1,3,2,4,5
20,1,3,2,5,3
20,1,3,3,2,1
20,1,3,3,3,2
20,1,3,3,4,3
20,1,3,3,5,3
20,1,4,1,1,3
20,1,4,2,2,1
20,1,4,2,3,2
20,1,4,2,4,4
20,1,4,2,5,4
20,1,4,3,2,1
20,1,4,3,3,2
20,1,4,3,4,2
20,1,4,3,5,3
21,1,1,1,1,5
21,1,1,2,2,1
21,1,1,2,3,1
21,1,1,2,4,3
21,1,1,2,5,5
21,1,1,3,2,1
21,1,1,3,3,1
21,1,1,3,4,3
21,1,1,3,5,3
21,1,2,1,1,4
21,1,2,2,2,1
21,1,2,2,3,1
21,1,2,2,4,3
21,1,2,2,5,5
21,1,2,3,2,1
21,1,2,3,3,1
21,1,2,3,4,2
21,1,2,3,5,2
21,1,3,1,1,5
21,1,3,2,2,1
21,1,3,2,3,1
21,1,3,2,4,2
21,1,3,2,5,5
21,1,3,3,2,1
21,1,3,3,3,1
21,1,3,3,4,2
21,1,3,3,5,5
21,1,4,1,1,5
21,1,4,2,2,1
21,1,4,2,3,2
21,1,4,2,4,2
21,1,4,2,5,4
21,1,4,3,2,1
21,1,4,3,3,1
21,1,4,3,4,2
21,1,4,3,5,3
22,1,1,1,1,5
22,1,1,2,2,2
22,1,1,2,3,2
22,1,1,2,4,3
22,1,1,2,5,5
22,1,1,3,2,1
22,1,1,3,3,2
22,1,1,3,4,4
22,1,1,3,5,5
22,1,2,1,1,5
22,1,2,2,2,2
22,1,2,2,3,3
22,1,2,2,4,5
22,1,2,2,5,5
22,1,2,3,2,1
22,1,2,3,3,2
22,1,2,3,4,4
22,1,2,3,5,4
22,1,3,1,1,5
22,1,3,2,2,2
22,1,3,2,3,2
22,1,3,2,4,3
22,1,3,2,5,5
22,1,3,3,2,1
22,1,3,3,3,3
22,1,3,3,4,5
22,1,3,3,5,5
22,1,4,1,1,2
22,1,4,2,2,1
22,1,4,2,3,1
22,1,4,2,4,3
22,1,4,2,5,3
22,1,4,3,2,1
22,1,4,3,3,1
22,1,4,3,4,2
22,1,4,3,5,3
23,1,1,1,1,5
23,1,1,2,2,2
23,1,1,2,3,2
23,1,1,2,4,4
23,1,1,2,5,4
23,1,1,3,2,1
23,1,1,3,3,2
23,1,1,3,4,4
23,1,1,3,5,5
23,1,2,1,1,5
23,1,2,2,2,2
23,1,2,2,3,2
23,1,2,2,4,5
23,1,2,2,5,4
23,1,2,3,2,1
23,1,2,3,3,2
23,1,2,3,4,3
23,1,2,3,5,4
23,1,3,1,1,5
23,1,3,2,2,2
23,1,3,2,3,2
23,1,3,2,4,4
23,1,3,2,5,5
23,1,3,3,2,1
23,1,3,3,3,2
23,1,3,3,4,4
23,1,3,3,5,4
23,1,4,1,1,4
23,1,4,2,2,2
23,1,4,2,3,4
23,1,4,2,4,4
23,1,4,2,5,4
23,1,4,3,2,2
23,1,4,3,3,4
23,1,4,3,4,4
23,1,4,3,5,5
24,1,1,1,1,5
24,1,1,2,2,2
24,1,1,2,3,2
24,1,1,2,4,4
24,1,1,2,5,5
24,1,1,3,2,1
24,1,1,3,3,2
24,1,1,3,4,3
24,1,1,3,5,4
24,1,2,1,1,5
24,1,2,2,2,2
24,1,2,2,3,2
24,1,2,2,4,4
24,1,2,2,5,5
24,1,2,3,2,1
24,1,2,3,3,1
24,1,2,3,4,2
24,1,2,3,5,4
24,1,3,1,1,5
24,1,3,2,2,1
24,1,3,2,3,1
24,1,3,2,4,4
24,1,3,2,5,4
24,1,3,3,2,1
24,1,3,3,3,1
24,1,3,3,4,3
24,1,3,3,5,3
24,1,4,1,1,2
24,1,4,2,2,1
24,1,4,2,3,1
24,1,4,2,4,2
24,1,4,2,5,3
24,1,4,3,2,1
24,1,4,3,3,1
24,1,4,3,4,3
24,1,4,3,5,3
25,1,1,1,1,3
25,1,1,2,2,3
25,1,1,2,3,2
25,1,1,2,4,3
25,1,1,2,5,4
25,1,1,3,2,1
25,1,1,3,3,1
25,1,1,3,4,4
25,1,1,3,5,5
25,1,2,1,1,2
25,1,2,2,2,2
25,1,2,2,3,2
25,1,2,2,4,4
25,1,2,2,5,4
25,1,2,3,2,1
25,1,2,3,3,2
25,1,2,3,4,5
25,1,2,3,5,4
25,1,3,1,1,3
25,1,3,2,2,1
25,1,3,2,3,4
25,1,3,2,4,4
25,1,3,2,5,5
25,1,3,3,2,1
25,1,3,3,3,3
25,1,3,3,4,3
25,1,3,3,5,5
25,1,4,1,1,2
25,1,4,2,2,2
25,1,4,2,3,2
25,1,4,2,4,2
25,1,4,2,5,2
25,1,4,3,2,1
25,1,4,3,3,2
25,1,4,3,4,1
25,1,4,3,5,2
26,2,1,1,1,3
26,2,1,2,2,3
26,2,1,2,3,2
26,2,1,2,4,4
26,2,1,2,5,4
26,2,1,3,2,1
26,2,1,3,3,2
26,2,1,3,4,4
26,2,1,3,5,4
26,2,2,1,1,4
26,2,2,2,2,3
26,2,2,2,3,3
26,2,2,2,4,4
26,2,2,2,5,3
26,2,2,3,2,2
26,2,2,3,3,2
26,2,2,3,4,4
26,2,2,3,5,4
26,2,3,1,1,5
26,2,3,2,2,2
26,2,3,2,3,3
26,2,3,2,4,5
26,2,3,2,5,4
26,2,3,3,2,2
26,2,3,3,3,3
26,2,3,3,4,3
26,2,3,3,5,4
26,2,4,1,1,4
26,2,4,2,2,2
26,2,4,2,3,2
26,2,4,2,4,2
26,2,4,2,5,2
26,2,4,3,2,1
26,2,4,3,3,3
26,2,4,3,4,2
26,2,4,3,5,3
27,2,1,1,1,5
27,2,1,2,2,2
27,2,1,2,3,2
27,2,1,2,4,2
27,2,1,2,5,4
27,2,1,3,2,1
27,2,1,3,3,1
27,2,1,3,4,1
27,2,1,3,5,3
27,2,2,1,1,5
27,2,2,2,2,2
27,2,2,2,3,1
27,2,2,2,4,4
27,2,2,2,5,3
27,2,2,3,2,1
27,2,2,3,3,2
27,2,2,3,4,3
27,2,2,3,5,3
27,2,3,1,1,5
27,2,3,2,2,3
27,2,3,2,3,2
27,2,3,2,4,4
27,2,3,2,5,4
27,2,3,3,2,1
27,2,3,3,3,2
27,2,3,3,4,2
27,2,3,3,5,3
27,2,4,1,1,4
27,2,4,2,2,1
27,2,4,2,3,2
27,2,4,2,4,2
27,2,4,2,5,2
27,2,4,3,2,1
27,2,4,3,3,4
27,2,4,3,4,2
27,2,4,3,5,3
28,2,1,1,1,4
28,2,1,2,2,2
28,2,1,2,3,2
28,2,1,2,4,3
28,2,1,2,5,3
28,2,1,3,2,1
28,2,1,3,3,2
28,2,1,3,4,3
28,2,1,3,5,3
28,2,2,1,1,4
28,2,2,2,2,1
28,2,2,2,3,2
28,2,2,2,4,3
28,2,2,2,5,3
28,2,2,3,2,1
28,2,2,3,3,3
28,2,2,3,4,3
28,2,2,3,5,4
28,2,3,1,1,4
28,2,3,2,2,2
28,2,3,2,3,1
28,2,3,2,4,3
28,2,3,2,5,3
28,2,3,3,2,1
28,2,3,3,3,2
28,2,3,3,4,3
28,2,3,3,5,3
28,2,4,1,1,3
28,2,4,2,2,1
28,2,4,2,3,2
28,2,4,2,4,3
28,2,4,2,5,2
28,2,4,3,2,1
28,2,4,3,3,1
28,2,4,3,4,2
28,2,4,3,5,2
29,2,1,1,1,4
29,2,1,2,2,1
29,2,1,2,3,2
29,2,1,2,4,2
29,2,1,2,5,5
29,2,1,3,2,1
29,2,1,3,3,2
29,2,1,3,4,4
29,2,1,3,5,3
29,2,2,1,1,4
29,2,2,2,2,2
29,2,2,2,3,2
29,2,2,2,4,4
29,2,2,2,5,3
29,2,2,3,2,1
29,2,2,3,3,2
29,2,2,3,4,3
29,2,2,3,5,4
29,2,3,1,1,5
29,2,3,2,2,3
29,2,3,2,3,4
29,2,3,2,4,4
29,2,3,2,5,5
29,2,3,3,2,1
29,2,3,3,3,2
29,2,3,3,4,4
29,2,3,3,5,5
29,2,4,1,1,2
29,2,4,2,2,1
29,2,4,2,3,2
29,2,4,2,4,3
29,2,4,2,5,3
29,2,4,3,2,1
29,2,4,3,3,2
29,2,4,3,4,3
29,2,4,3,5,3
30,2,1,1,1,5
30,2,1,2,2,2
30,2,1,2,3,3
30,2,1,2,4,5
30,2,1,2,5,4
30,2,1,3,2,1
30,2,1,3,3,3
30,2,1,3,4,5
30,2,1,3,5,4
30,2,2,1,1,5
30,2,2,2,2,2
30,2,2,2,3,3
30,2,2,2,4,5
30,2,2,2,5,5
30,2,2,3,2,2
30,2,2,3,3,4
30,2,2,3,4,4
30,2,2,3,5,5
30,2,3,1,1,5
30,2,3,2,2,1
30,2,3,2,3,4
30,2,3,2,4,4
30,2,3,2,5,5
30,2,3,3,2,1
30,2,3,3,3,2
30,2,3,3,4,4
30,2,3,3,5,5
30,2,4,1,1,5
30,2,4,2,2,1
30,2,4,2,3,4
30,2,4,2,4,4
30,2,4,2,5,4
30,2,4,3,2,1
30,2,4,3,3,2
30,2,4,3,4,4
30,2,4,3,5,4
31,2,1,1,1,4
31,2,1,2,2,3
31,2,1,2,3,2
31,2,1,2,4,4
31,2,1,2,5,5
31,2,1,3,2,1
31,2,1,3,3,2
31,2,1,3,4,3
31,2,1,3,5,4
31,2,2,1,1,4
31,2,2,2,2,2
31,2,2,2,3,4
31,2,2,2,4,4
31,2,2,2,5,5
31,2,2,3,2,1
31,2,2,3,3,3
31,2,2,3,4,4
31,2,2,3,5,4
31,2,3,1,1,5
31,2,3,2,2,1
31,2,3,2,3,3
31,2,3,2,4,3
31,2,3,2,5,3
31,2,3,3,2,1
31,2,3,3,3,3
31,2,3,3,4,4
31,2,3,3,5,2
31,2,4,1,1,5
31,2,4,2,2,1
31,2,4,2,3,2
31,2,4,2,4,2
31,2,4,2,5,1
31,2,4,3,2,1
31,2,4,3,3,1
31,2,4,3,4,3
31,2,4,3,5,3
32,2,1,1,1,2
32,2,1,2,2,3
32,2,1,2,3,3
32,2,1,2,4,2
32,2,1,2,5,4
32,2,1,3,2,1
32,2,1,3,3,2
32,2,1,3,4,3
32,2,1,3,5,3
32,2,2,1,1,4
32,2,2,2,2,3
32,2,2,2,3,2
32,2,2,2,4,2
32,2,2,2,5,3
32,2,2,3,2,1
32,2,2,3,3,2
32,2,2,3,4,2
32,2,2,3,5,4
32,2,3,1,1,4
32,2,3,2,2,2
32,2,3,2,3,2
32,2,3,2,4,3
32,2,3,2,5,2
32,2,3,3,2,1
32,2,3,3,3,1
32,2,3,3,4,3
32,2,3,3,5,4
32,2,4,1,1,2
32,2,4,2,2,1
32,2,4,2,3,1
32,2,4,2,4,1
32,2,4,2,5,1
32,2,4,3,2,1
32,2,4,3,3,1
32,2,4,3,4,1
32,2,4,3,5,1
33,2,1,1,1,5
33,2,1,2,2,2
33,2,1,2,3,2
33,2,1,2,4,5
33,2,1,2,5,5
33,2,1,3,2,1
33,2,1,3,3,2
33,2,1,3,4,3
33,2,1,3,5,5
33,2,2,1,1,3
